Section,KeywordRegex
Title,\b(proposed topic|title of research|project title|title|topic)\b
Background,\b(background|overview|introduction)\b
Methodology,\b(methodology|research methods?|methods?)\b
OutcomesValue,\b(outcomes?|values?|outcome? and value?|findings?|analysis)\b
References,\b(references?|bibliography)\b
